b'-BEGIN HEADER-\r
NASA/POWER Source Native Resolution Hourly Data \r
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST\r
Location: Latitude  47.99   Longitude 139.53 \r
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 287.71 meters\r
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 \r
Parameter(s): \r
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) \r
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) \r
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) \r
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) \r
T2M                    MERRA-2 Temperature at 2 Meters (C) \r
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) \r
-END HEADER-\r
YEAR,MO,DY,HR,ALLSKY_SRF_ALB,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,T2M,WS10M
2023,1,1,0,-999.0,0.0,0.0,0.0,-15.16,4.1
2023,1,1,1,-999.0,0.0,0.0,0.0,-15.73,4.43
2023,1,1,2,-999.0,0.0,0.0,0.0,-16.33,4.7
2023,1,1,3,-999.0,0.0,0.0,0.0,-16.57,4.81
2023,1,1,4,-999.0,0.0,0.0,0.0,-16.62,4.73
2023,1,1,5,-999.0,0.0,0.0,0.0,-17.12,4.52
2023,1,1,6,-999.0,0.0,0.0,0.0,-17.47,4.46
2023,1,1,7,-999.0,0.0,0.0,0.0,-17.73,4.46
2023,1,1,8,0.13,48.22,198.2,76.32,-17.16,4.44
2023,1,1,9,0.14,89.0,459.43,191.2,-15.74,4.56
2023,1,1,10,0.14,113.01,551.81,276.1,-14.61,4.78
2023,1,1,11,0.14,121.52,599.06,319.38,-13.78,4.98
2023,1,1,12,0.14,109.03,592.34,294.65,-13.64,5.1
2023,1,1,13,0.14,130.71,426.61,236.73,-14.16,5.21
2023,1,1,14,0.13,113.4,154.7,130.85,-14.98,5.17
2023,1,1,15,0.14,29.48,77.13,29.9,-15.94,5.0
2023,1,1,16,-999.0,0.0,0.0,0.0,-16.71,4.91
2023,1,1,17,-999.0,0.0,0.0,0.0,-17.27,4.95
2023,1,1,18,-999.0,0.0,0.0,0.0,-17.72,4.93
2023,1,1,19,-999.0,0.0,0.0,0.0,-18.04,4.83
2023,1,1,20,-999.0,0.0,0.0,0.0,-18.26,4.84
2023,1,1,21,-999.0,0.0,0.0,0.0,-18.49,4.89
2023,1,1,22,-999.0,0.0,0.0,0.0,-18.79,4.91
2023,1,1,23,-999.0,0.0,0.0,0.0,-19.14,4.96
2023,1,2,0,-999.0,0.0,0.0,0.0,-19.82,4.97
2023,1,2,1,-999.0,0.0,0.0,0.0,-20.79,5.04
2023,1,2,2,-999.0,0.0,0.0,0.0,-21.69,5.05
2023,1,2,3,-999.0,0.0,0.0,0.0,-22.35,4.98
2023,1,2,4,-999.0,0.0,0.0,0.0,-22.86,4.73
2023,1,2,5,-999.0,0.0,0.0,0.0,-23.09,4.57
2023,1,2,6,-999.0,0.0,0.0,0.0,-23.29,4.31
2023,1,2,7,-999.0,0.0,0.0,0.0,-23.42,4.21
2023,1,2,8,0.14,53.53,171.52,77.47,-22.67,4.17
2023,1,2,9,0.13,105.41,211.78,154.35,-21.19,4.27
2023,1,2,10,0.13,141.76,342.35,229.82,-20.18,4.53
2023,1,2,11,0.13,164.91,317.5,253.6,-19.44,4.8
2023,1,2,12,0.12,162.12,245.11,226.15,-19.0,4.93
2023,1,2,13,0.13,128.58,213.81,180.93,-19.02,5.13
2023,1,2,14,0.13,81.89,152.52,105.72,-19.39,5.26
2023,1,2,15,0.14,30.44,63.95,31.2,-20.11,5.29
2023,1,2,16,-999.0,0.0,0.0,0.0,-20.9,5.38
2023,1,2,17,-999.0,0.0,0.0,0.0,-21.52,5.42
2023,1,2,18,-999.0,0.0,0.0,0.0,-21.98,5.31
2023,1,2,19,-999.0,0.0,0.0,0.0,-22.22,5.15
2023,1,2,20,-999.0,0.0,0.0,0.0,-22.35,4.96
2023,1,2,21,-999.0,0.0,0.0,0.0,-22.37,5.01
2023,1,2,22,-999.0,0.0,0.0,0.0,-22.3,5.15
2023,1,2,23,-999.0,0.0,0.0,0.0,-22.18,5.21
2023,1,3,0,-999.0,0.0,0.0,0.0,-22.15,5.18
2023,1,3,1,-999.0,0.0,0.0,0.0,-22.2,5.11
2023,1,3,2,-999.0,0.0,0.0,0.0,-22.21,4.93
2023,1,3,3,-999.0,0.0,0.0,0.0,-22.21,4.64
